Category,Metric,Min,Median,Mean,Max
Scale,# Buffers,38,120.0,121.61738461538461,243
Scale,# Sinks,61,240.0,244.18953846153846,507
Hierarchy,Tree Depth,6,6.0,6,6
Hierarchy,Fanout,2.577777777777778,3.0,2.9924211413008797,3.2913385826771653
Area,Buffer Area,25.950976000000008,85.86897999999992,86.79053408738454,182.1844239999998
Timing,SS Mean Path Delay,0.20150416666666665,0.21848773584905662,0.21845315253762215,0.2292472222222222
Timing,SS Maximum Path Delay,0.3381,0.3587,0.35797753846153846,0.36
Timing,FF Mean Path Delay,0.04955405405405405,0.05754203477443609,0.05754805267925131,0.06704848484848484
Timing,FF Maximum Path Delay,0.0889,0.0994,0.0989802,0.1
